slot,problem_file,target,profile,normalized_result,artifact_result,final_solver_status,worker_memory_limit_observed,elapsed_seconds,peak_tree_rss_mib,peak_tree_rss_gib,min_mem_available_mib,min_mem_available_gib,max_swap_used_mib,raw_exit_code,exit_code,cpu,artifact_id,artifact_sha256,theorem_found,model_found,technical_failure
01,01-zba-bridge.p,ZB*A=Ib,e-auto-4x2500,TIMEOUT_NO_PROOF_OR_MODEL,TIME_LIMIT,external time limit,True,21002.179,8335.41,8.14,6739.824,6.582,0.0,14,124,AMD EPYC 7763 64-Core Processor,8269228851,e9dcaec5564e5c44032173777f7b494a47ab39362bc12d8b5fadaf861bb47e72,False,False,False
02,01-zba-bridge.p,ZB*A=Ib,vampire-casc-4x2500,TIMEOUT_NO_PROOF_OR_MODEL,SOLVER_MEMORY_LIMIT,SZS Timeout,True,21002.023,9154.152,8.94,5915.23,5.777,0.0,1,1,AMD EPYC 7763 64-Core Processor,8269228770,8d069e98aa9fac1bd0a9bd3ee96bc67344bb5bc8219b5eb497e451f04be2c705,False,False,False
03,01-zba-bridge.p,ZB*A=Ib,vampire-casc-2x5000,TIMEOUT_NO_PROOF_OR_MODEL,SOLVER_MEMORY_LIMIT,SZS Timeout,True,21000.172,9489.215,9.267,5554.699,5.425,0.0,1,1,AMD EPYC 7763 64-Core Processor,8269228652,4fa95c6ae9ce0f865625da9b42e8b9fe5be4f7ad4aaebfa5f26b67da4c36d274,False,False,False
04,01-zba-bridge.p,ZB*A=Ib,vampire-sat-4x2500,TIMEOUT_NO_PROOF_OR_MODEL,SOLVER_MEMORY_LIMIT,SZS Timeout,True,21000.601,2647.266,2.585,12434.988,12.144,0.0,1,1,AMD EPYC 7763 64-Core Processor,8269229435,dcbbf8365e05f390864373a6b9e0e566118a5cedd31a30b28852f42a6638dfd8,False,False,False
05,02-zbib-zb-c.p,(ZB*Ib)*ZB=c,e-auto-4x2500,TIMEOUT_NO_PROOF_OR_MODEL,TIME_LIMIT,external time limit,True,21002.512,8141.008,7.95,6928.512,6.766,0.0,14,124,AMD EPYC 9V74 80-Core Processor,8269229059,ec0a727a9d3805e0f7cde0d470fa1f8bffc49e8999cc1eac6ea1d7e0ca9f4cae,False,False,False
06,02-zbib-zb-c.p,(ZB*Ib)*ZB=c,vampire-casc-4x2500,TIMEOUT_NO_PROOF_OR_MODEL,SOLVER_MEMORY_LIMIT,SZS Timeout,True,21001.012,8792.992,8.587,6238.699,6.092,0.0,1,1,AMD EPYC 7763 64-Core Processor,8269229629,ae776e7bbe9c77855a0af378764b9279ee4084261864cea5b56430ee1ae76d08,False,False,False
07,02-zbib-zb-c.p,(ZB*Ib)*ZB=c,vampire-casc-2x5000,TIMEOUT_NO_PROOF_OR_MODEL,SOLVER_MEMORY_LIMIT,SZS Timeout,True,21001.591,9592.867,9.368,5457.598,5.33,0.0,1,1,AMD EPYC 7763 64-Core Processor,8269228667,d11f3c9c05937c2e18df986096e64de4b2d8b028bf8d7802a58f486f178426b5,False,False,False
08,02-zbib-zb-c.p,(ZB*Ib)*ZB=c,vampire-sat-4x2500,TIMEOUT_NO_PROOF_OR_MODEL,SOLVER_MEMORY_LIMIT,SZS Timeout,True,21000.257,2770.504,2.706,12350.391,12.061,0.0,1,1,AMD EPYC 7763 64-Core Processor,8269229528,e7168ffdfedb4ab85f54c420b62b3b7f20cd705f06eb143c7a22de431cb40519,False,False,False
09,03-b-zba-h.p,b*(ZB*A)=h,e-auto-4x2500,TIMEOUT_NO_PROOF_OR_MODEL,TIME_LIMIT,external time limit,True,21001.114,8371.5,8.175,6692.078,6.535,0.0,14,124,AMD EPYC 9V74 80-Core Processor,8269228901,f1bb2fb1a72f62101e599ae11869b3d4451b7a592438871e7c60447cabeaf876,False,False,False
10,03-b-zba-h.p,b*(ZB*A)=h,vampire-casc-4x2500,TIMEOUT_NO_PROOF_OR_MODEL,SOLVER_MEMORY_LIMIT,SZS Timeout,True,21000.674,9415.48,9.195,5573.188,5.443,0.0,1,1,AMD EPYC 7763 64-Core Processor,8269228495,3ea386efdea4b5236a4ec2c089c151fd12c4f2fa6225decb56f2f383413dcdce,False,False,False
